row_id,heart_disease_mortality_per_100k
0,312
1,257
2,195
3,218
4,355
5,288
6,283
7,315
8,426
9,309
10,288
11,300
12,322
13,213
14,310
15,337
16,276
17,204
18,228
19,438
20,262
21,241
22,261
23,287
24,269
25,315
26,324
27,345
28,199
29,313
30,243
31,250
32,378
33,300
34,175
35,255
36,275
37,185
38,249
39,233
40,314
41,307
42,294
43,383
44,310
45,280
46,360
47,276
48,296
49,316
50,285
51,319
52,272
53,343
54,228
55,284
56,253
57,229
58,291
59,363
60,281
61,244
62,223
63,214
64,375
65,236
66,232
67,212
68,340
69,330
70,279
71,229
72,227
73,306
74,263
75,218
76,199
77,324
78,257
79,330
80,283
81,207
82,247
83,199
84,337
85,399
86,259
87,229
88,305
89,293
90,182
91,327
92,200
93,245
94,224
95,348
96,271
97,267
98,306
99,228
100,210
101,321
102,224
103,191
104,302
105,351
106,285
107,273
108,292
109,315
110,307
111,202
112,259
113,303
114,380
115,242
116,242
117,303
118,315
119,238
120,272
121,270
122,204
123,248
124,243
125,352
126,187
127,317
128,236
129,250
130,204
131,239
132,220
133,255
134,344
135,269
136,281
137,239
138,221
139,202
140,288
141,257
142,327
143,443
144,253
145,369
146,206
147,256
148,290
149,272
150,229
151,238
152,260
153,220
154,353
155,306
156,277
157,223
158,370
159,208
160,359
161,229
162,349
163,232
164,332
165,288
166,212
167,307
168,261
169,311
170,216
171,309
172,281
173,274
174,251
175,277
176,327
177,335
178,252
179,343
180,225
181,315
182,313
183,293
184,216
185,299
186,212
187,204
188,280
189,290
190,314
191,263
192,234
193,209
194,349
195,203
196,241
197,219
198,336
199,200
200,260
201,350
202,210
203,363
204,340
205,274
206,290
207,246
208,244
209,281
210,183
211,284
212,386
213,219
214,222
215,185
216,313
217,198
218,425
219,237
220,391
221,256
222,259
223,313
224,382
225,272
226,194
227,231
228,282
229,373
230,281
231,262
232,255
233,272
234,230
235,348
236,293
237,220
238,408
239,270
240,321
241,350
242,287
243,323
244,401
245,294
246,392
247,220
248,245
249,300
250,193
251,325
252,403
253,239
254,253
255,325
256,303
257,340
258,213
259,300
260,286
261,279
262,297
263,229
264,228
265,220
266,125
267,210
268,285
269,260
270,182
271,370
272,268
273,260
274,250
275,259
276,371
277,322
278,296
279,221
280,252
281,330
282,281
283,195
284,242
285,369
286,226
287,266
288,259
289,222
290,368
291,175
292,222
293,238
294,286
295,180
296,234
297,175
298,388
299,336
300,269
301,287
302,379
303,295
304,286
305,309
306,408
307,252
308,294
309,483
310,210
311,296
312,365
313,213
314,379
315,255
316,191
317,275
318,278
319,350
320,238
321,468
322,293
323,326
324,257
325,291
326,198
327,340
328,163
329,236
330,232
331,261
332,215
333,268
334,409
335,324
336,308
337,279
338,195
339,304
340,296
341,283
342,269
343,276
344,306
345,255
346,215
347,288
348,284
349,349
350,299
351,218
352,188
353,206
354,401
355,431
356,267
357,343
358,355
359,245
360,264
361,223
362,372
363,340
364,249
365,205
366,361
367,374
368,209
369,338
370,206
371,253
372,251
373,317
374,305
375,291
376,251
377,279
378,253
379,315
380,277
381,219
382,244
383,218
384,294
385,303
386,247
387,319
388,355
389,224
390,304
391,291
392,207
393,232
394,346
395,321
396,321
397,329
398,250
399,279
400,252
401,231
402,341
403,230
404,306
405,223
406,286
407,206
408,300
409,303
410,256
411,166
412,346
413,239
414,273
415,315
416,420
417,279
418,214
419,381
420,254
421,340
422,212
423,331
424,320
425,330
426,301
427,252
428,269
429,230
430,266
431,312
432,219
433,267
434,249
435,355
436,331
437,381
438,247
439,400
440,231
441,272
442,293
443,357
444,341
445,280
446,244
447,247
448,199
449,240
450,288
451,322
452,288
453,179
454,312
455,218
456,310
457,225
458,242
459,270
460,291
461,390
462,298
463,217
464,334
465,202
466,247
467,179
468,337
469,417
470,306
471,273
472,366
473,241
474,306
475,312
476,189
477,228
478,305
479,326
480,245
481,267
482,279
483,345
484,321
485,239
486,285
487,283
488,368
489,282
490,299
491,187
492,274
493,299
494,264
495,360
496,300
497,255
498,348
499,252
500,308
501,222
502,263
503,450
504,304
505,294
506,187
507,263
508,235
509,307
510,261
511,235
512,261
513,278
514,260
515,210
516,232
517,367
518,240
519,295
520,235
521,340
522,368
523,243
524,301
525,279
526,250
527,345
528,327
529,371
530,309
531,169
532,410
533,267
534,308
535,279
536,267
537,298
538,251
539,243
540,260
541,203
542,259
543,294
544,264
545,224
546,222
547,197
548,255
549,225
550,259
551,288
552,243
553,292
554,444
555,160
556,292
557,304
558,245
559,260
560,342
561,411
562,288
563,317
564,279
565,160
566,193
567,282
568,269
569,238
570,342
571,229
572,319
573,244
574,344
575,304
576,240
577,232
578,241
579,309
580,256
581,245
582,328
583,184
584,290
585,401
586,341
587,303
588,365
589,335
590,202
591,289
592,244
593,240
594,343
595,262
596,288
597,201
598,195
599,188
600,309
601,295
602,305
603,318
604,256
605,395
606,189
607,317
608,258
609,323
610,227
611,347
612,313
613,233
614,353
615,174
616,225
617,215
618,235
619,367
620,208
621,270
622,251
623,291
624,285
625,201
626,234
627,207
628,285
629,311
630,363
631,260
632,239
633,187
634,324
635,181
636,220
637,314
638,234
639,219
640,250
641,296
642,240
643,174
644,196
645,380
646,245
647,247
648,262
649,206
650,332
651,299
652,267
653,262
654,265
655,224
656,379
657,368
658,280
659,390
660,262
661,256
662,259
663,464
664,288
665,352
666,350
667,385
668,307
669,370
670,226
671,265
672,280
673,294
674,363
675,186
676,318
677,238
678,204
679,288
680,255
681,239
682,293
683,274
684,274
685,339
686,237
687,244
688,209
689,315
690,243
691,199
692,257
693,281
694,280
695,324
696,238
697,356
698,293
699,290
700,215
701,383
702,416
703,267
704,372
705,217
706,275
707,455
708,215
709,332
710,226
711,328
712,304
713,312
714,387
715,309
716,379
717,313
718,300
719,316
720,209
721,240
722,223
723,283
724,260
725,222
726,253
727,163
728,353
729,372
730,267
731,306
732,252
733,258
734,238
735,220
736,249
737,313
738,323
739,273
740,335
741,337
742,363
743,244
744,330
745,354
746,256
747,259
748,318
749,274
750,253
751,278
752,211
753,232
754,304
755,360
756,234
757,323
758,267
759,265
760,398
761,317
762,263
763,194
764,282
765,300
766,215
767,222
768,331
769,267
770,306
771,209
772,292
773,231
774,262
775,243
776,356
777,431
778,351
779,331
780,359
781,299
782,301
783,258
784,194
785,306
786,276
787,335
788,220
789,319
790,353
791,369
792,307
793,221
794,305
795,349
796,265
797,262
798,255
799,327
800,347
801,210
802,288
803,222
804,278
805,423
806,370
807,288
808,226
809,254
810,258
811,242
812,306
813,235
814,196
815,250
816,303
817,286
818,363
819,322
820,253
821,323
822,392
823,409
824,226
825,387
826,303
827,320
828,238
829,266
830,280
831,224
832,421
833,204
834,285
835,277
836,184
837,278
838,259
839,354
840,310
841,293
842,198
843,352
844,270
845,254
846,249
847,206
848,192
849,313
850,232
851,225
852,252
853,375
854,226
855,324
856,341
857,275
858,323
859,232
860,366
861,350
862,234
863,417
864,203
865,232
866,207
867,247
868,315
869,220
870,187
871,289
872,246
873,290
874,235
875,265
876,275
877,246
878,355
879,378
880,278
881,347
882,304
883,253
884,289
885,244
886,340
887,395
888,234
889,335
890,304
891,362
892,211
893,323
894,269
895,297
896,276
897,321
898,224
899,289
900,253
901,215
902,290
903,307
904,343
905,239
906,233
907,306
908,267
909,272
910,149
911,309
912,385
913,278
914,252
915,189
916,304
917,230
918,340
919,328
920,250
921,330
922,291
923,193
924,306
925,232
926,344
927,323
928,298
929,315
930,225
931,249
932,277
933,236
934,249
935,246
936,337
937,189
938,227
939,292
940,238
941,302
942,304
943,198
944,264
945,394
946,304
947,299
948,264
949,355
950,225
951,283
952,319
953,271
954,148
955,224
956,312
957,213
958,244
959,254
960,308
961,221
962,212
963,312
964,333
965,216
966,315
967,332
968,252
969,313
970,269
971,265
972,307
973,317
974,459
975,285
976,263
977,323
978,317
979,241
980,282
981,245
982,267
983,205
984,340
985,350
986,241
987,270
988,183
989,328
990,279
991,389
992,266
993,303
994,317
995,273
996,341
997,221
998,184
999,230
1000,192
1001,326
1002,281
1003,288
1004,176
1005,215
1006,289
1007,313
1008,319
1009,313
1010,274
1011,243
1012,279
1013,236
1014,247
1015,229
1016,189
1017,212
1018,316
1019,399
1020,300
1021,296
1022,297
1023,321
1024,292
1025,333
1026,255
1027,325
